upload time for original : 135.877319
upload time for original : 138.422989
upload time for original : 135.673706
upload time for original : 135.773102
upload time for original : 136.203690
upload time for original : 135.336884
upload time for original : 137.243103
upload time for original : 133.649399
upload time for original : 138.868988
upload time for original : 135.071793
upload time for original : 136.179108
upload time for original : 136.009995
upload time for DXT1 compress : 16.960199
upload time for DXT1 compress : 16.894600
upload time for DXT1 compress : 16.840998
upload time for DXT1 compress : 15.478500
upload time for DXT1 compress : 16.998798
upload time for DXT1 compress : 16.295198
upload time for DXT1 compress : 17.000200
upload time for DXT1 compress : 15.714901
upload time for DXT1 compress : 16.017599
upload time for DXT1 compress : 17.001699
upload time for DXT1 compress : 16.502201
upload time for DXT3 compress : 30.983599
upload time for DXT3 compress : 29.632702
upload time for DXT3 compress : 29.520102
upload time for DXT3 compress : 28.373600
upload time for DXT3 compress : 29.389997
upload time for DXT3 compress : 27.241697
upload time for DXT3 compress : 28.594402
upload time for DXT3 compress : 27.574900
upload time for DXT3 compress : 28.302498
upload time for DXT3 compress : 28.890598
upload time for DXT5 compress : 30.216303
upload time for DXT5 compress : 28.990002
upload time for DXT5 compress : 28.543100
upload time for DXT5 compress : 26.956497
upload time for DXT5 compress : 28.850300
upload time for DXT5 compress : 28.177097
upload time for DXT5 compress : 27.764397
upload time for DXT5 compress : 29.185299
upload time for DXT5 compress : 31.014198
upload time for DXT5 compress : 26.639299
upload time for BPTC compress : 29.368599
upload time for BPTC compress : 29.802803
upload time for BPTC compress : 27.716200
upload time for BPTC compress : 28.150799
upload time for BPTC compress : 27.845098
upload time for BPTC compress : 29.553301
upload time for BPTC compress : 28.413700
upload time for BPTC compress : 27.746899
upload time for BPTC compress : 27.783798
upload time for BPTC compress : 27.632202
upload time for YUV+DXT1 compress : 9.429100
upload time for YUV+DXT1 compress : 10.323399
upload time for YUV+DXT1 compress : 9.326301
upload time for YUV+DXT1 compress : 9.533200
upload time for YUV+DXT1 compress : 9.455999
upload time for YUV+DXT1 compress : 9.968701
upload time for YUV+DXT1 compress : 9.354500
upload time for YUV+DXT1 compress : 9.434200
upload time for YUV+DXT1 compress : 9.835902
upload time for YUV+DXT1 compress : 9.706201
upload time for DXT1 compress : 17.110001
upload time for original : 130.123306
upload time for DXT1 compress : 16.711601
upload time for original : 136.819687
upload time for YUV+DXT1 compress : 10.980500
upload time for original : 140.367996
upload time for YUV+DXT1 compress : 9.967899
upload time for original : 136.989899
upload time for DXT1 compress : 17.536299
